Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Singleton2025	MFD12189	Qualitative			55,0221	9,7625	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062215												
Singleton2025	MFD12199	Qualitative			55,2147	11,8264	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062779												
Singleton2025	MFD13585	Qualitative			56,3264	9,644	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062831												
Singleton2025	MFD13536	Qualitative			56,3261	9,6356	Lake_Sediment	Sediment	Illumina NovaSeq 6000		DNeasy PowerMax Soil Kit		SRR28062845												
Somee2021	HS	Quantatative	8,54	35,1	27,06112	56,24636	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA575141 	SRR11922359			27									
Somee2021	AS	Quantatative	8,8	26,6	27,31767	52,32542	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA575141 	SRR11922358			29									
Somee2021	KS	Quantatative	8,23	19,7	29,13194	50,18105	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA575141 	SRR11922363			27									
Song2025	BS	Quantatative	5,64	0,831	39,92	123,64	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1162528	SRR30756407												
Song2025	SS	Quantatative	4,75	0,19	39,91	123,65	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1162528	SRR30756410												
Song2025	PS	Quantatative	6,36	0,143	39,9	123,61	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1162528	SRR30756406												
Song2025	MS	Quantatative	6,42	0,069	39,9	123,61	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1162528	SRR30756415												
Song2025	BFS	Quantatative	7,32	0,06243	39,91	123,61	Wetland	Soil	Illumina NovaSeq 6000			PRJNA1162528	SRR30756412												
Sriaporn2023	WA3	Quantatative	2,9		-38,36117	176,36917	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645255			53									
Sriaporn2023	OG5402-WA19	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645257			44									
Sriaporn2023	OG5402-WA18	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645258			38									
Sriaporn2023	OG5402-WA17	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645259			36									
Sriaporn2024	OG5402-WA21	Quantatative	3,2		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645260			49									
Sriaporn2025	OG5402-WA15	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645261			40									
Sriaporn2026	OG5402-WA14	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645262			44									
Sriaporn2026	OG5402-WA13	Quantatative	3,1		-38,3584937	176,3683939	Hot spring	Sediment	Illumina HiSeq 2500	Thruplex DNA-Seq libraries	DNeasy PowerSoil® Kit	PRJNA644733	SRR25645263			46									
St,John2026	3517-1-1	Qualitative			27,011	-111,407	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR32938011												
St,John2026	J-296-6	Qualitative			-25,3205	70,0403	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33094751												
St,John2026	J2-434-4-R1-2	Qualitative			-20,053847	-176,133	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33151381												
St,John2026	J2-130-1-R2-1	Qualitative			-22,180664	-176,601197	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33151385												
St,John2026	J2-357-6-R1-1	Qualitative			37,290881	-32,281932	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33214771												
St,John2026	J2-352-5-R1-1	Qualitative			36,229137	-33,903186	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33214776												
St,John2026	MS15-CHA3	Qualitative			23,369	-44,95	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33214777												
St,John2026	3987-4-1	Qualitative			9,83802	-104,291221	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33939670												
St,John2026	3119-7	Qualitative			37,29	-32,278	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956857												
St,John2026	4136-1-2	Qualitative			47,97	-129,09	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956858												
St,John2026	3795	Qualitative			0,83	-89,60833	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956860												
St,John2026	3762-1	Qualitative			9,27883	-104,2202	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956862												
St,John2026	Dive_187	Qualitative			13,3845	143,917	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956864												
St,John2026	3769-1	Qualitative			9,84	-104,29	Hydrothermal	Deposit	NextSeq 2000	NexteraXT DNA prep		PRJNA1244896	SRR33956868												
Sun2025	HSM1520D_47X3_metagenomics_Nextera_XT	Quantatative	7,91	54,409	-38,97	179,13	Deep sea Sediment	Sediment	Illumina NextSeq 500	Illumina Nextera XT libraries	PE150	PRJNA678552 	SRR30888636	10,72	477										
Sun2025	HSM1520D_33X4_metagenomics_Nextera_XT	Quantatative	7,865	53,065	-38,97	179,13	Deep sea Sediment	Sediment	Illumina NextSeq 500	Illumina Nextera XT libraries	PE150	PRJNA678552 	SRR30888638	8,56	495										
Sun2025	HSM1519E_6H3_metagenomics_Nextera_XT	Quantatative	7,955	50,37	-38,72	178,61	Deep sea Sediment	Sediment	Illumina NextSeq 500	Illumina Nextera XT libraries	PE150	PRJNA678552 	SRR30888630	10,29	463,7	-									
Sun2025	2018_LW50_metagenomics_Nextera_XT	Quantatative	8,6	12,589	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR30905122		-	-									
Sun2025	2018_LW40_metagenomics_Nextera_XT	Quantatative	8,4	12,083	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR30905123		-	-									
Sun2025	2018_LW30_metagenomics_Nextera_XT	Quantatative	8,6	11,334	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR30905124		-	-									
Sun2025	lw2030_metagenomics_Nextera_XT	Quantatative	7,3	2,155	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR30905131		-	-									
Sun2025	lw40_metagenomics_Nextera_XT	Quantatative	8	1,663	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR14802574												
Sun2025	lw3040_metagenomics_Nextera_XT	Quantatative	6,8	1,097	-26,44	153,06	Lagoon Sediment	Sediment	NextSeq 500	NexteraXT kit,		PRJNA678545	SRR30905130		-	-									
Tee21	S9R3	Quantatative	7,56	46,799	-36,542361	174,707472	Sea Sediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825415	-	-	22,1									
Tee21	S8R3	Quantatative	7,57	43,0568	-36,541722	174,703139	Sea Sediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825418	-	-	20,3									
Tee21	S7R3	Quantatative	7,57	38,411	-36,541361	174,701806	EstuarySediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825421	-	-	20,3									
Tee21	S6R1	Quantatative	7,44	30,774	-36,540917	174,678694	EstuarySediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825427	-	-	18,6									
Tee21	S3R3	Quantatative	7,18	15,13	-36,55025	174,665389	EstuarySediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825370			20,3									
Tee21	S1R1	Quantatative	7,26	0,537	-36,550667	174,65225	RiverSediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825434	-	-	21,2									
Tee21	S1R2	Quantatative	7,29	0,516	-36,550667	174,65225	RiverSediment	Sediment	Illumina HiSeq 2500	TruSeq DNA nano libraries		PRJNA668816	SRR12825433	-	-	20,8									
Terhorst2023	GPS2_T1	Quantatative	6,5	82,1	38,31574444	-123,0568167	Saline wetland	Soil	Illumina NovaSeq 6009	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808091	1,381	118,181	10									0
Terhorst2023	GPS3_T2	Quantatative	5,7	48,96	38,42576667	-123,05685	Saline wetland	Soil	Illumina NovaSeq 6011	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808086	9,2606	217,442	10									0
Terhorst2023	BMLS3_T2	Quantatative	6,3	41,83	38,3181	-123,0566333	Saline wetland	Soil	Illumina NovaSeq 6002	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808035	1,586	9,612	7,22									0
Terhorst2023	GPS3_T3	Quantatative	7,5	25,66	38,3158333	-123,0571	Saline wetland	Soil	Illumina NovaSeq 6012	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808083	10,64	283,51	11,11									0
Terhorst2023	GPS1_T1	Quantatative	6,6	14,64	38,31598333	-123,0568833	Saline wetland	Soil	Illumina NovaSeq 6007	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808092	1,66	37,451	7,22									0
Terhorst2023	BMLS3_T1	Quantatative	6,2	11,44	38,3182	-123,0565667	Saline wetland	Soil	Illumina NovaSeq 6001	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22807978	4,221	4,088	9,44									0
Terhorst2023	DP3_T3	Quantatative	7,8	8,8	38,3187667	-123,06965	Saline wetland	Soil	Illumina NovaSeq 6006	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808022	1,2535	14,48	7,77									0
Terhorst2023	GPS2_T3	Quantatative	7,1	7,06	38,31595	-123,0568	Saline wetland	Soil	Illumina NovaSeq 6010	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808084	6,702	157,981	9,44									0
Terhorst2023	DP2_T1	Quantatative	7,5	4,23	38,3188	-123,0696167	Saline wetland	Soil	Illumina NovaSeq 6004	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808029	14,95	290,95	12,77									0
Terhorst2023	GPS1_T3	Quantatative	7,1	4,23	38,31608333	-123,056933	Saline wetland	Soil	Illumina NovaSeq 6008	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808085	9,107	171,72	11,11									0
Terhorst2023	HC2_T3	Quantatative	4,1	2,64	38,3157333	-123,0686833	Saline wetland	Soil	Illumina NovaSeq 6013	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808053	11,895	302,392	10									0
Terhorst2023	DP1_T1	Quantatative	7,2	2,15	38,3187	-123,0699333	Saline wetland	Soil	Illumina NovaSeq 6003	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808030	1,713	20,6611	10,55									0
Terhorst2023	DP3_T2	Quantatative	8,1	1,27	38,31891667	-123,0697333	Saline wetland	Soil	Illumina NovaSeq 6005	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808025	2,04	37,277	13,88									0
Terhorst2023	BMLS1_T3	Quantatative	6,6	1,15	38,31838333	-123,0564167	Saline wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep kit		PRJNA913601	SRR22808034	1,202	3,654	7,22									0
Terhorst2023	BMLB2_T2	Quantatative	6,6	0,8	38,31841667	-123,0564167	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22808038	1,45	1,384	10,55									
Terhorst2023	HC2_T1	Quantatative	6,2	0,36	38,3157333	-123,068667	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22808081	28,21	968,682	12,22									0
Terhorst2023	BMLF1_T1	Quantatative	6	0,24	38,3192	-123,05795	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22807990	3,88	13,571	15,55									0
Terhorst2023	HC1_T1	Quantatative	5,6	0,23	38,3157333	-123,0686	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22808082	22,512	765,98	12,78									0
Terhorst2023	BMLB3_T1	Quantatative	6,2	0,17	38,318675	-123,0570012	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22807998	3,121	6,742	12,22									0
Terhorst2023	GPB1_T2	Quantatative	6,7	0,15	38,3147333	-123,0572833	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep	2.00	PRJNA913601	SRR22808098	1,586	11,309	10,55									0
Terhorst2023	GPB3_T3	Quantatative	6,2	0,11	38,3145333	-123,0574167	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22808093	5,832	97,607	11,11									0
Terhorst2023	BMLF2_T3	Quantatative	5,2	0,06	38,319172	-123,057849	Wetland	Soil	Illumina NovaSeq 6000	KAPA DNA Hyper Prep		PRJNA913601	SRR22807983	0,895	5,654	10									0
U1547_B_H3	Mara2023	Qualitative			27,05	-111,67	Sea Sediment	Sediment	Illumina NovaSeq 6000			PRJNA909197	SRR25383458												
Ugwuanyi2023	PLP_M_b	Quantatative	2		40,82949	14,4728	Hot spring	Sediment	Illumina NovaSeq 6000	Accel-NGS 2S Plus DNA Library Kit		PRJNA889931	SRR22299277		-	78,9									
Ugwuanyi2023	PLP_M_a	Quantatative	2,5		40,82949	14,4728	Hot spring	Sediment	Illumina NovaSeq 6000			PRJNA889931	SRR22299278		-	78,9									
Wang02022	W1	Qualatative			24,8342	121,96232	Hot spring	Sediment				PRJNA851985	SRR19843167												
Williams2023	Simpson	Qualatative			33,56417	-87,17316	AMD	Sediment	Illumina HiSeq 2500			PRJNA907387	SRR22572384												
Williams2023	Martin_run	Qualatative			39,550828	-79,639311	AMD	Sediment	Illumina HiSeq 2500			PRJNA907387	SRR22572385												
Williams2023	Maxine_mine	Qualatative			33,5742	-87,15634	AMD	Sediment	Illumina HiSeq 2500			PRJNA907387	SRR22572386												
Williams2023	Porcupine_run	Qualatative			41,34378	-78,37827	AMD	Sediment	Illumina HiSeq 2500			PRJNA907387	SRR22572387												
Woodcroft2018	20120500_P28,20140723,NA	Qualatative			68,3535	19,0473	Permafrost (peat)	Permafrost	Illumina HiSeq 2000			PRJNA386568	SRR7151554		8,31										
Woodcroft2018	20110600_E1S,20140910,NA	Qualatative			68,3534	19,0467	Permafrost (peat)	Permafrost	NextSeq 500			PRJNA386568	SRR7151636												
Woodcroft2018	20120500_P38,20140516,NA	Qualatative			68,3535	19,0472	Permafrost (peat)	Permafrost	Illumina HiSeq 2500			PRJNA386568	SRR7151655		28,78										
Woodcroft2018	20110700_E1D,20140910,NA	Qualatative			68,3535	19,0473	Permafrost (peat)	Permafrost	NextSeq 500		TruSeq Nano	PRJNA386568	SRR7151735												
Wu2023	MP_16,9	Quantatative	7	4,1	70,040903	159,52282	Marine permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698	SRR10907113	5,4	170,6	-7,96									
Wu2023	BP_5,4	Quantatative	7	1,1	70,04903	159,52282	Brackish permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698	SRR10907120	0,6	33,2	-7,07									
Wu2023	BP_1,75	Quantatative	7,3	0,3	70,04903	159,52282	Brackish permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698 	SRR10907111	0,3	3,7	-4,89									
Wu2023	FP_25,1	Quantatative	7,23	0,17	69,340633	154,995217	Fresh water Permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698 	SRR10907121	0,41	1,76	5									
Wu2023	FP_15,0	Quantatative	7,5	0,15	69,340633	154,995217	Fresh water Permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698 	SRR10907122	0,66	2,4	-5,9									
Wu2023	FP_6,0	Quantatative	7,03	0,14	69,340633	154,995217	Fresh water Permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698 	SRR10907114	0,51	1,24	-5,5									
Wu2023	FP_2,95	Quantatative	6,44	0,09	69,340633	154,995217	Fresh water Permafrost	Permafrost	Illumina NovaSeq 6000			PRJNA601698 	SRR10907116	0,27	0,89	-1,7									
Xamxidin2025	S_3	Quantatative	8	124,798	43,61	92,79	Salt lake	Sediment	Illumina HiSeq 2500			PRJNA1200918	SRR31818007			2,4									
Xie2025	X01	Quantatative	8,15	124,92	37,276	95,337	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29700001												
Xie2025	X20	Quantatative	8,09	118,696	37,268	95,283	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699996												
Xie2025	X10	Quantatative	7,92	118,502	37,27	95,313	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699975												
Xie2025	X04	Quantatative	7,97	117,976	37,276	96,335	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29700000												
Xie2025	X05	Quantatative	7,95	117,388	37,276	95,328	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699989												
Xie2025	X11	Quantatative	8,07	113,2	37,268	95,308	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699974												
Xie2025	X06	Quantatative	8,02	109,103	37,275	95,322	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699978												
Xie2025	X12	Quantatative	8,09	98,935	37,226	95,304	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699973												
Xie2025	X29	Quantatative	8,17	97,082	37,284	95,26	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699993												
Xie2025	X08	Quantatative	7,99	97,049	37,272	95,316	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699976												
Xie2025	X18	Quantatative	8,11	72,694	37,314	95,268	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699997												
Xie2025	X28	Quantatative	8,19	69,268	37,282	95,262	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699994												
Xie2025	X30	Quantatative	8,18	65,466	37,286	95,258	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699992												
Xie2025	X32	Quantatative	8,29	64,213	37,288	95,257	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699991												
Xie2025	X26	Quantatative	8,23	63,587	37,282	95,268	Salt lake	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699995												
Xie2025	X33	Quantatative	8,25	42,638	37,29	95,256	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699990												
Xie2025	X34	Quantatative	8,24	30,357	37,293	95,256	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699988												
Xie2025	X17	Quantatative	8,17	25,965	37,314	95,267	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699998												
Xie2025	X35	Quantatative	8,18	22,429	37,297	95,258	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699987												
Xie2025	X36	Quantatative	8,23	17,69	37,301	95,258	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699986												
Xie2025	X40	Quantatative	8,75	10,662	37,314	95,253	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699985												
Xie2025	X13	Quantatative	8,3	5,87	37,316	95,265	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699972												
Xie2025	X15	Quantatative	7,96	2,929	37,314	95,258	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699971												
Xie2025	X16	Quantatative	7,82	2,916	37,314	95,261	Brackish lake Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699999												
Xie2025	X47	Quantatative	7,62	2,234	37,222	95,254	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699980												
Xie2025	X49	Quantatative	7,69	2,02	37,317	95,259	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699977												
Xie2025	X48	Quantatative	7,55	1,986	37,318	95,257	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699979												
Xie2025	X46	Quantatative	7,62	1,974	37,328	95,252	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699981												
Xie2025	X43	Quantatative	7,82	1,919	37,334	95,246	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699984												
Xie2025	X45	Quantatative	7,53	1,918	37,33	95,25	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699982												
Xie2025	X44	Quantatative	7,7	1,894	37,332	95,428	Brackish Sediment	Sediment	Illumina HiSeq 4000			PRJNA1131488	SRR29699983												
Xiong2025	SB3_1	Qualitative			23,58	109,68	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945695												
Xiong2025	S22_1	Qualitative			40,32	120,37	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945708												
Xiong2025	S19_1	Qualitative			38,26	116,93	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945709												
Xiong2025	S14_1	Qualitative			34,08	115,25	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945710												
Xiong2025	S12_1	Qualitative			32,3	114,85	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945711												
Xiong2025	S7_1	Qualitative			27,55	115,16	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945730												
Xiong2025	S4_1	Qualitative			24,18	113,42	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945731												
Xiong2025	S5_1	Qualitative			25,58	110,46	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945732												
Xiong2025	S8_1	Qualitative			29,55	113,21	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945733												
Xiong2025	S17_1	Qualitative			37,104	112,944	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945734												
Xiong2025	S20_1	Qualitative			38,87	112,77	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945737												
Xiong2025	S27_1	Qualitative			42,38	119,21	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945738												
Xiong2025	SB30_1	Qualitative			45,08	124,92	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945769												
Xiong2025	BB12_1	Qualatative			32,3	114,85	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945772												
Xiong2025	S10_1	Qualitative			30,16	115,16	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945774												
Xiong2025	S9_1	Qualitative			30,16	115,345	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945775												
Xiong2025	S1_1	Qualitative			21,762	109,234	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945776												
Xiong2025	S3_1	Qualitative			23,589	109,68	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945777												
Xiong2025	S6_1	Qualitative			27,234	112,877	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945778												
Xiong2025	S11_1	Qualitative			30,397	113,427	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945779												
Xiong2025	S13_1	Qualitative			33,65	114,097	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945780												
Xiong2025	SB29_1	Qualitative			44,425	125,196	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945781												
Xiong2025	S15_1	Qualitative			35,087	113,388	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945782												
Xiong2025	S18_1	Qualitative			37,68	112,823	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945783												
Xiong2025	S21_1	Qualitative			40,221	114,62	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945784												
Xiong2025	S23_1	Qualitative			40,516	115,17	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945785												
Xiong2025	S25_1	Qualitative			41,902	118,688	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945786												
Xiong2025	S28_1	Qualitative			43,65	123,528	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945787												
Xiong2025	S30_1	Qualitative			45,085	124,922	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945788												
Xiong2025	S29_1	Qualitative			44,425	125,196	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945789												
Xiong2025	S26_1	Qualitative			42,294	123,872	RiverSediment	Sediment	Illumina HiSeq 1000			PRJNA779832	SRR16945790												
Xiong2025	SB24_1	Qualitative			41,536	122,655	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945791												
Xiong2025	SB12_1	Qualitative			32,305	114,852	Wetland	Soil	Illumina HiSeq 1000			PRJNA779832	SRR16945793												
Xue2020	Xue_Pooled	Qualitative			78,186	15,9248	Tundra	Permafrost	Illumina HiSeq 2500			PRJEB30872	ERR3078911												
Yeon2024	ST02	Qualitative		3,5	76,7476	174,261	Sea Sediment	Sediment				PRJEB76672	ERR13301384												
Yeon2024	ST03	Qualitative		3,5	76,1074	172,6548	Sea Sediment	Sediment				PRJEB76672	ERR13301385												
Yeon2024	ST04	Qualitative		3,5	75,4231	171,4932	Sea Sediment	Sediment				PRJEB76672	ERR13301386												
Yeon2024	ST05	Qualitative		3,41	74,7589	170,4555	Sea Sediment	Sediment				PRJEB76672	ERR13301387												
Yeon2024	ST07	Qualitative		3,31	73,8145	169,1941	Sea Sediment	Sediment				PRJEB76672	ERR13301388												
Yeon2024	ST20	Qualitative		3,31	74,4674	167,9195	Sea Sediment	Sediment				PRJEB76672	ERR13301390												
Yeon2024	ST08	Qualitative		3,22	73,6961	167,6757	Sea Sediment	Sediment				PRJEB76672	ERR13301389												
Zhang2022	RS_1	Qualitative			22,01	119,28	Sea Sediment	Sediment	HiSeq X Ten			PRJNA707313	SRR13892590												
