Study	Site	Quantative,Qualative	pH	Salinity (mS/cm)	Latitude	Longitude	Description	Soil/Tailing/Sediment	Sequencing method	Library	Kit	BioProject ID	Sequence Reads Archive	K+(mmol/kg)	Na+(mmol/kg)	T(°C)									
Colman2024	GOPA01	Quantatative	3,03	4,125	44,60993	-110,43939	Hot spring	Sediment				PRJNA791658	SRR25522537			66,3*									
Colman2024	SMH03	Quantatative	8	4,107	44,75154	-110,4151	Hot spring	Sediment				PRJNA791658	SRR25522557			74,1									
Colman2024	GCR01	Quantatative	6,18	3,935	44,68753	-110,72752	Hot spring	Sediment				PRJNA791658	SRR25522567			83,2									
Colman2024	SYL04	Quantatative	6,509	3,92	44,70055	-110,76543	Hot spring	Sediment				PRJNA791658	SRR25522543			71,7									
Colman2024	LGB02	Quantatative	8,58	3,83	44,56485	-110,86005	Hot spring	Sediment				PRJNA791658	SRR25522563			92,8									
Colman2024	LGB01	Quantatative	7,78	3,693	44,56963	-110,86518	Hot spring	Sediment				PRJNA791658	SRR17752278			92,4									
Colman2024	NOR06	Quantatative	5,02	3,635	44,73616	-110,70649	Hot spring	Sediment				PRJNA791658	SRR25522551			70,0									
Colman2024	MGB01	Quantatative	8,78	3,602	44,51914	-110,80914	Hot spring	Sediment				PRJNA791658	SRR25522562			80,6									
Colman2024	LGB05	Quantatative	8,727	3,447	44,56097	-110,83286	Hot spring	Sediment				PRJNA791658	SRR17752279			77,2									
Colman2024	SMH02	Quantatative	6,301	3,378	44,75386	-110,40376	Hot spring	Sediment				PRJNA791658	SRR25522558			67,8*									
Colman2024	NOR05	Quantatative	2,926	3,249	44,7311	-110,710192	Hot spring	Sediment				PRJNA791658	SRR25522552			78,8									
Colman2024	NOR03	Quantatative	2,801	3,007	44,72689	-110,70882	Hot spring	Sediment				PRJNA791658	SRR25522554			77,2									
Colman2024	NOR07	Quantatative	2,94	2,94	44,72041	-110,71326	Hot spring	Sediment				PRJNA791658	SRR25522550			81,6									
Colman2024	NMC01	Quantatative	7,495	2,785	44,73616	-110,70644	Hot spring	Sediment				PRJNA791658	SRR25522549			74,8									
Colman2024	GCR04	Quantatative	5,215	2,116	44,6877	-110,7282	Hot spring	Sediment				PRJNA791658	SRR25522555			66,8									
Colman2024	SMH01	Quantatative	6,525	1,988	44,7536	-110,40418	Hot spring	Sediment				PRJNA791658	SRR25522559			77,4									
Colman2024	GCR02	Quantatative	4	1,788	44,68772	-110,72821	Hot spring	Sediment				PRJNA791658	SRR25522566			76,1									
Colman2024	GCR06	Quantatative	6,79	1,635	44,688757	-110,727987	Hot spring	Sediment				PRJNA791658	SRR25522541			83,1									
Colman2024	GRV03	Quantatative	6,83	1,342	44,68406	-110,74355	Hot spring	Sediment				PRJNA791658	SRR25522564			89,2									
Colman2024	GOPA02	Quantatative	5,901	1,121	44,61006	-110,43882	Hot spring	Sediment				PRJNA791658	SRR25522536			70,7									
Colman2024	MGB03	Quantatative	7,16	0,095	44,50889	-110,80895	Hot spring	Sediment				PRJNA791658	SRR25522560			79,4									
Das2024	 mangrove	Quantatative	8,5	7,127	22,01909	88,4056	Forest	Soil	Illumina  NextSeq 500 	TruSeq Nano DNA library Prep Kit		PRJNA436903	SRR6811659												
Das2024	non-mangrove	Quantatative	5,3	0,464	22,0124	88,4119	Forest	Soil	Illumina  NextSeq 500 	TruSeq Nano DNA library Prep Kit		PRJNA437568	SRR6821719												
Diamond2022	14_1009_09_20cm	Qualatative			39,74	-123,63	Grassland	Soil	Illumina HiSeq 2500			PRJNA449266 	SRR7042353												
Dindhoria2024	Sambhar_lake	Quantatative	9,1	128,1	26,92961	75,17642	Salt lake	Sediment	Illumina NovaSeq 6000			PRJNA951920	SRR24060162 	0,00299	1,434	29,8									
Dong2023	XS2	Quantatative	8,08	57,814	15,800736	111,212314	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844118			30,3									
Dong2023	XS9	Quantatative	7,9	57,324	16,07205	112,517133	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844105			26,5									
Dong2023	XS10	Quantatative	7,88	56,928	16,042286	112,51065	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844104			32,1									
Dong2023	XS3	Quantatative	7,85	55,483	16,977517	112,309883	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844111			29,5									
Dong2023	XS13	Quantatative	7,85	55,483	16,50553	111,585344	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844115			28,5									
Dong2023	XS4	Quantatative	8,1	55,349	16,498767	111,693017	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844110			29,6									
Dong2023	XS12	Quantatative	7,91	55,32	16,048842	112,470167	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844116			32,3									
Dong2023	XS16	Quantatative	8,14	55,006	17,077019	111,473575	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844112			31,7									
Dong2023	XS15	Quantatative	8,08	53,697	17,099583	111,464367	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844113			26,9									
Dong2023	XS8	Quantatative	8,15	53,321	16,223619	111,815706	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844106			28,8									
Dong2023	XS6	Quantatative	8,15	52,2471	16,468783	111,61595	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844108			29,6									
Dong2023	XS11	Quantatative	8,03	51,674	16,060742	112,468911	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844117			27,2									
Dong2023	XS1	Quantatative	8,12	50,96	16,2704	111,724133	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844119			29,5									
Dong2023	XS7	Quantatative	7,99	49,86	16,074455	111,797417	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844107			27,4									
Dong2023	XS5	Quantatative	7,95	45,225	16,659817	112,75505	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844109			29,8									
Dong2023	XS14	Quantatative	7,81	44,305	16,525097	111,767961	Coral_reef_Sediment	Sediment	Illumina NovaSeq 6000			PRJNA724996	SRR14844114			20,6									
Duchesneau2025	AZOGBG	Qualatative			47,50793	-93,4521	Peatland	Soil	Illumina HiSeq 2500	Truseq library	MoBio PowerSoil Pro Kit	PRJNA364951	SRR5823773												
Frey2022	Sailon_B	Qualatative			46,1	7,09	Forest	Soil					SRR17205146												
Frey2022	NE-B	Qualatative			47,41	8,32	Forest	Soil					SRR17205148												
Frey2022	NB-B	Qualatative			47,41	8,39	Forest	Soil					SRR17205151												
Frey2022	ChE-B	Qualatative			46,12	7,12	Forest	Soil					SRR17205152												
Frey2022	Sailon_O	Qualatative			46,1	7,9	Forest	Soil					SRR17205155												
Frey2022	ChB-B	Qualatative			46,12	7,12	Forest	Soil	Illumina Miseq				SRR17205156												
Galisteo2024	M2_3C	Quantatative	6,3	69,2	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149494			37,2									
Galisteo2024	M2_3B	Quantatative	6,4	60,7	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149495			37,2									
Galisteo2024	M2_2A	Quantatative	7,5	46,1	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149499			35,9									
Galisteo2024	M2_2B	Quantatative	7,4	46	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149497			35,9									
Galisteo2024	M2_1B	Quantatative	8,2	42,6	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149501			32,1									
Galisteo2024	M2_3A	Quantatative	6	39,1	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149496			37,2									
Galisteo2024	M2_2C	Quantatative	7,7	37,9	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149498			35,9									
Galisteo2024	M2_1A	Quantatative	8,5	33,5	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149503			32,1			0,36						
Galisteo2024	M2_1C	Quantatative	8,4	27,1	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149500			32,1									
Galisteo2024	M3_1A	Quantatative	8,3	27	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149508			30,6									
Galisteo2024	M3_1B	Quantatative	8,4	26,9	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149502			30,6									
Galisteo2024	M3_2A	Quantatative	8,4	24,7	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149492			34									
Galisteo2024	M3_2B	Quantatative	7,8	24	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149491			34									
Galisteo2024	M3_3A	Quantatative	8,5	23,3	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149506			33,7									
Galisteo2024	M3_1C	Quantatative	8,2	22,4	37,20739	-6,96458	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149493			30,6									
Galisteo2024	M3_3B	Quantatative	8,3	21,9	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149505			33,7									
Galisteo2024	M3_2C	Quantatative	7,7	18,5	37,20789	-6,95775	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149507			34									
Galisteo2024	M3_3C	Quantatative	8,4	15,4	37,22167	-6,96244	Saltmarsh	Soil	Illumina NovaSeq 6000			PRJNA1081324	SRR28149504			33,7									
Gao2022	DX1		3,08	8,39 	29,0025 	117,7275 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13197465												
Gao2022	MAS1		2,62	3,38 	31,6772 	118,6274 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13190158												
Gao2022	Fk3		5,45	2,88 	25,0491 	113,6640 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13201255												
Gao2022	BP4		2,4	2,86 	25,8098 	107,6186 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13162838												
Gao2022	BP6		2,46	2,63	25,809534	107,618123	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR17201898												
Gao2022	JA3		2,46	2,63 	26,5235 	106,5710 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13201268												
Gao2022	Fk2		2,49	2,16 	25,0490 	113,6640 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13203224												
Gao2022	YF5		2,89	1,73 	22,9640 	112,0150 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13213329												
Gao2022	DBS1-3		1,87	1,22	24,5595 	113,7451 	Acid minage sediment	Sediment	Illumina MiSeq	NEBNext Ultra II DNA Prep Kit	QIAquick Gel Extraction Kit	PRJNA666025	SRR13178631												
Gionfriddo2020	Cub Bath	Quantatative	3,4	0	-35,407515	173,8554755	Hot spring	Sediment	Illumina HiSeq 2500	NexteraXT kit,		PRJNA622280	SRR11457942			28,8									
Gionfriddo2020	Tiger bath	Quantatative	2,95	0	-35,4075155	173,8554535	Hot spring	Sediment	Illumina HiSeq 2500	NexteraXT kit,		PRJNA622280	SRR11457943			37,9									
Hazzouri2022	Sample16	Quantatative	8,59	47,5	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430510	-	-	-									
Hazzouri2022	Sample17	Quantatative	8,17	47	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430509	-	-	-									
Hazzouri2022	Sample18	Quantatative	8,06	46,4	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430508	-	-	-									
Hazzouri2022	Sample1	Quantatative	7,46	42,1	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina HiSeq 1000			PRJNA753691	SRR15430507	-	-	-									
Hazzouri2022	Sample3	Quantatative	8,1	40,4	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430506	-		-									
Hazzouri2022	Sample15	Quantatative	8,21	28	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430511	-	-	-									
Hazzouri2022	Sample14	Quantatative	7,97	23	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430520	-	-										
Hazzouri2022	Sample13	Quantatative	8,73	22,5	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430531	-	-	-									
Hazzouri2022	Sample12	Quantatative	8,73	14,69	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430532	-	-	-									
Hazzouri2022	Sample8	Quantatative	8,56	4,08	24,066972	53,374583	Salt_flat_Soil	Soil	Illumina NovaSeq 6000			PRJNA753691	SRR15430505			-									
Hernandez-Vazquez2026	DDsed	Qualatative	10		21,846621	-105,883377	Soda Lake	Sediment	Illumina MiSeq			PRJNA1240669	SRR32816590												
Hernandez2020	1957	Qualatative			-38,34	-71,47	Geothermal Soil	Soil	Illumina MiSeq			PRJNA602600	SRR11271805												
Hernandez2020	1751	Qualatative			-38,5	-71,38	Geothermal Soil	Soil	Illumina MiSeq			PRJNA602600	SRR11271808												
Hernandez2020	1640	Qualatative			-38,49	-71,41	Geothermal Soil	Soil	Illumina MiSeq			PRJNA602600	SRR11271809												
Högfors-Rönnholm2019	CWAHO	Qualatative	3,7		63,0472	21,7116	Acidic grassland	Soil	Illumina NovaSeq 6000	KAPA-Illumina library		PRJNA524144	SRR8554483												
Högfors-Rönnholm2019	CWAHT	Qualatative	4,7		63,0472	21,7116	Acidic grassland	Soil	Illumina NovaSeq 6000	KAPA-Illumina library		PRJNA524144	SRR8554503												
Högfors-Rönnholm2019	CWAHZ	Qualatative	8,1		63,0472	21,7116	Acidic grassland	Soil	Illumina NovaSeq 6000	KAPA-Illumina library		PRJNA524144	SRR8554643												
Hortstmann2025	AZ_24	Quantatative	9,4	0,1006	-26,302717	-70,45735	Arid Soil	Soil	Illumina NovaSeq 6000			PRJEB76461	ERR13337195												
Hortstmann2025	AZ_3	Quantatative	7,59	0,093	-26,302717	-70,45735	Arid Soil	Soil	Illumina NovaSeq 6000			PRJEB76461	ERR13337194												
Hortstmann2025	NA_39,0	Quantatative	8,17	0,0098	-37,79381	-72,95043	Humid Soil	Soil	Illumina NovaSeq 6000	Accel-NGS 2S Plus DNA Library Kit		PRJEB76461	ERR13337193												
Kosmopoulos2025	BOr1A	Qualatative	3,6		54,93046	-3,24013	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840412												
Kosmopoulos2025	BAr3I	Qualatative	3,62		56,92341	-3,15831	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840413												
Kosmopoulos2025	BAr3H	Qualatative	3,59		56,92341	-3,15831	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840414												
Kosmopoulos2025	SEr3I	Qualatative	3,74		54,1308	-1,95015	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840415												
Kosmopoulos2025	MHr1C	Qualatative	3,95		54,69457	-2,37661	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840428												
Kosmopoulos2025	MGr3H	Qualatative	3,86		52,99565	-3,81652	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840433												
Kosmopoulos2025	LAWAr2D	Qualatative			58,20588	-3,5552	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840444												
Kosmopoulos2025	CRr1B	Qualatative	4,04		58,39304	-4,00182	Peatland	Soil	Illumina NovaSeq 6000	DNeasy PowerSoil Kit (	DNeasy PowerSoil Kit (	PRJNA1203648	SRR31840466												
Makcelprang2017	33KA	Qualatative			64,951	-147,621	Permafrost	Permafrost	Illumina HiSeq 2000			PRJNA350710	SRR5050798												
Medeiras2026	Crater Lake	Qualatative			-62,9811	-60,6675	Beach	Soil	HiSeq 2500	Illumina Nextera Flex DNA Library Prep Kit	DNA easy (max)powerSoil	PRJEB95143	ERR15419862			1,4									
Medeiras2026	Fumarole bay	Qualatative			-62,9674	-60,7099	Geothermal Soil	Soil	HiSeq 2500	Illumina Nextera Flex DNA Library Prep Kit	DNA easy (max)powerSoil	PRJEB95143	ERR15419867			48,9									
Medeiras2026	Hannah_point	Qualatative			-62,647	-60,6031	Beach	Soil	HiSeq 2500	Illumina Nextera Flex DNA Library Prep Kit	DNA easy powerSoil	PRJEB95143	ERR15419868			2,5									
Medeiras2026	Whalers bay	Qualatative			-62,9791	-60,556	Beach	Soil	Illumina NovaSeq 6000	Illumina DNA Prep Kit	DNA easy powerSoil	PRJEB95143	ERR15419881			5									
Michoud2025	Gl127_u_KZ	Quantatative	8,204	0,997	39,4419	72,8983	Gletsjer_Sediment	Sediment	Illumina NovaSeq 6000		350PE	PRJNA781406 	SRR23617189			0,25									
