Study	Site	pH	Salinity	Description	BioProject ID		Paired/Single	Comments	IMG id			T(°C)
Sanseverino2022	23_Aug_2017Secchi	8,5	0,101	Lake	PRJNA694367	SRR13516734				-	-	24,3
Sanseverino2022	30_Aug_2017Epi	7,7	0,0091	Lake	PRJNA694367	SRR13516735				-	-	26,1
Sanseverino2022	30_Aug_2017Secchi	6,3	0,0132	Lake	PRJNA694367	SRR13516736				-	-	23,9
Sanseverino2022	27_Sep_2017Epi	8,6	0,0091	Lake	PRJNA694367	SRR13516737				-	-	19,9
Sanseverino2022	07_Sep_2016Epi	8,5	0,0117	Lake	PRJNA694367	SRR13516738				-	-	24,8
Sanseverino2022	07_Sep_2016Secchi	7,5	0,0148	Lake	PRJNA694367	SRR13516739				-	-	15
Sanseverino2022	14_Sep_2016Epi	8,4	0,118	Lake	PRJNA694367	SRR13516740				-	-	25,2
Sanseverino2022	27_Sep_2017Secchi	7,3	0,0132	Lake	PRJNA694367	SRR13516742				-	-	15,3
Sanseverino2022	21_Sep_2016Epi	8,3	0,012	Lake	PRJNA694367	SRR13516743				-	-	22
Sanseverino2022	21_Sep_2016Secchi	7,3	0,0151	Lake	PRJNA694367	SRR13516744				-	-	15,8
Sanseverino2022	31_Aug_2016Epi	8,5	0,0117	Lake	PRJNA694367	SRR13516745				-	-	25
Sanseverino2022	31_Aug_2016Meso	7,1	0,0151	Lake	PRJNA694367	SRR13516746				-	-	9,3
Sanseverino2022	02_Aug_2017Meso	7,5	0,0109	Lake	PRJNA694367	SRR13516752				-	-	9,5
Sanseverino2022	04_Okt_2017Epi	8,9	0,0091	Lake	PRJNA694367	SRR13516753				-	-	19,5
Sanseverino2022	04_Okt_2017Secchi	7,3	0,0136	Lake	PRJNA694367	SRR13516754				-	-	10,8
Kim24	April2019_90	7,2	0,005	Lake	PRJNA1087105	SRR28327192				-	-	5,2
Kim24	April2019_40	7,4	0,005	Lake	PRJNA1087105	SRR28327193				-	-	5,6
Kim24	April2019_1	7,4	0,005	Lake	PRJNA1087105	SRR28327196				-	-	12,4
Kim24	Jan2019_90	6,8	0,008	Lake	PRJNA1087105	SRR28327197				-	-	4,8
Kim24	Nov2019_90	6,8	0,003	Lake	PRJNA1087105	SRR28327200				-	-	5,1
Kim24	Nov2019_40	6,5	0,003	Lake	PRJNA1087105	SRR28327201				-	-	11,6
Kim24	Nov2019_1	6,7	0,003	Lake	PRJNA1087105	SRR28327204				-	-	14,3
Kim24	Jul2019_40	7,5	0,004	Lake	PRJNA1087105	SRR28327205				-	-	7,5
Kim24	Jul2019_90	7	0,004	Lake	PRJNA1087105	SRR28327206				-	-	5,7
Kim24	Jul2019_1	8,9	0,004	Lake	PRJNA1087105	SRR28327209				-	-	29,1
Kim24	Jan2019_1	6,8	0,005	Lake	PRJNA1087105	SRR28327211				-	-	6,1
Zepernick24	LV_1	7,1	0,007	Lake	PRJNA1119566	SRR29270208				-	-	-
Zepernick24	LV_11	7,4	0,006	Lake	PRJNA1119566	SRR29270206				-	-	-
Zepernick24	LV_13	7,7	0,007	Lake	PRJNA1119566	SRR29270204				-	-	-
Zepernick24	LV_3	7,1	0,007	Lake	PRJNA1119566	SRR29270196				-	-	-
Zepernick24	LV_21	7,4	0,005	Lake	PRJNA1119566	SRR29270195				-	-	-
Zepernick24	LV_23	6,7	0,008	Lake	PRJNA1119566	SRR29270193				-	-	-
Zepernick24	LV_25	8,5	0,004	Lake	PRJNA1119566	SRR29270191				-	-	-
Zepernick24	LV_26	8,1	0,004	Lake	PRJNA1119566	SRR29270190				-	-	-
Zepernick24	LV_27	7,1	0,005	Lake	PRJNA1119566	SRR29270189				-	-	-
Zepernick24	LV_28	7,7	0,005	Lake	PRJNA1119566	SRR29270188				-	-	-
Zepernick24	LV_29	8,7	0,005	Lake	PRJNA1119566	SRR29270187				-	-	-
Zepernick24	LV_30	7,3	0,005	Lake	PRJNA1119566	SRR29270186				-	-	-
Zepernick24	LV_31	8,7	0,004	Lake	PRJNA1119566	SRR29270184				-	-	-
Zepernick24	LV_32	8,6	0,005	Lake	PRJNA1119566	SRR29270183				-	-	-
Zepernick24	LV_33	8,6	0,005	Lake	PRJNA1119566	SRR29270182				-	-	-
Zepernick24	LV_34	7,4	0,005	Lake	PRJNA1119566	SRR29270181				-	-	-
Zepernick24	LV_35	8,3	0,005	Lake	PRJNA1119566	SRR29270180				-	-	-
Zepernick24	LV_36	7,8	0,004	Lake	PRJNA1119566	SRR29270179				-	-	-
Zepernick24	LV_38	7,8	0,004	Lake	PRJNA1119566	SRR29270177				-	-	-
Zepernick24	LV_39	7,5	0,004	Lake	PRJNA1119566	SRR29270176				-	-	-
Zepernick24	LV_5	7,6	0,007	Lake	PRJNA1119566	SRR29270174				-	-	-
Zepernick24	LV_7	7,4	0,005	Lake	PRJNA1119566	SRR29270164				-	-	-
Zepernick24	LV_9	7,4	0,005	Lake	PRJNA1119566	SRR29270162				-	-	-
Cabello-Yeves2021	St307_150m	7,67	2,087	Ocean	PRJNA638805	SRR12042683				-	-	21,38
Cabello-Yeves2021	St307_30	8,28	1,83	Ocean	PRJNA638805	SRR12042684				-	-	17,62
Cabello-Yeves2021	St307_5m	8,35	1,8	Ocean	PRJNA638805	SRR12042685				-	-	8,69
Cabello-Yeves2021	St301_5m	8,36	1,75	Ocean	PRJNA638805	SRR12042686				-	-	22,04
Anantharaman2016	Oceanwater	8	3,45	Ocean	PRJNA234377	SRR1217463/SRR1217461/SRR1217567		Back ground 				2
Tee21	FS9	7,55	3,49	Ocean	PRJNA668816	SRR12825405				-	-	22,1
Tee21	FS8	7,57	3,28	Ocean	PRJNA668816	SRR12825406				-	-	20,3
Yang2024	S7_3	7,93	3,011	Ocean	PRJNA729603	SRR14527632				-	-	-
Yang2024	S7_1	7,95	3,01	Ocean	PRJNA729603	SRR14527633				-	-	-
Wu24	PR10	8,03	3,117	Ocean	PRJNA878949	SRR21518224						14,97
Wu24	PR9	8,03	3,117	Ocean	PRJNA878949	SRR21518225						28,29
Tee21	FS2	7,25	0,03	River	PRJNA668816	SRR12825413				-	-	18,4
Tee21	FS1	7,29	0,032	River	PRJNA668816	SRR12825414				-	-	20,8
Wu24	PR4	7,16	0,036	River	PRJNA878949	SRR21518230						17,63
Wu24	PR3	7,25	0,017	River	PRJNA878949	SRR21518231						16,45
Wu24	PR2	7,53	0,013	River	PRJNA878949	SRR21518233						29,57
Wu24	PR1	7,48	0,012	River	PRJNA878949	SRR21518234						17,63
Parwin	US	7	0,0091	River	PRJNA1008397	SRR25894125	SE			-	-	-
Tavares_Martins2025	LIT4_A	7,52	0,0029	River	PRJNA1122411	SRR30951346				-	-	-
Tavares_Martins2025	LIT3_C	6,98	0,0047	River	PRJNA1122411	SRR30951347				-	-	-
Tavares_Martins2025	LIT3_B	7,35	0,0048	River	PRJNA1122411	SRR30951348				-	-	-
Tavares_Martins2025	LIT3_A	7,49	0,0046	River	PRJNA1122411	SRR30951349				-	-	-
Tavares_Martins2025	LIT2_C	6,85	0,0048	River	PRJNA1122411	SRR30951350				-	-	-
Tavares_Martins2025	LIT2_B	6,83	0,0047	River	PRJNA1122411	SRR30951351				-	-	-
Tavares_Martins2025	LIT2_A	6,84	0,0046	River	PRJNA1122411	SRR30951352				-	-	-
Tavares_Martins2025	LIT1_C	7,05	0,0046	River	PRJNA1122411	SRR30951353				-	-	-
Tavares_Martins2025	LIT4_C	6,9	0,0046	River	PRJNA1122411	SRR30951354				-	-	-
Tavares_Martins2025	LIT4_B	6,99	0,0047	River	PRJNA1122411	SRR30951355				-	-	-
Tavares_Martins2025	LIT1_B	6,96	0,0046	River	PRJNA1122411	SRR30951356				-	-	-
Tavares_Martins2025	LIT1_A	6,59	0,0046	River	PRJNA1122411	SRR30951357				-	-	-
Kheiri2023	Pooled	8,925	25,37	Salt lake	PRJNA825141 	SRR19434976						-
Sierra2022	Lake Hillier	7,4	28	Salt lake	PRJNA865792	SRR21053863				-	-	
Dindhoria2024	Sambhar_lake	9,1	12,55	Salt lake	PRJNA951920	SRR24060162						29,8
Veloso2023	SAW1_Nanopore	6,5	0,35	Salt lake	PRJNA1023877	SRR26473343	SE	Oxford Nanopore		-	-	16
Veloso2023	SAW1_Illumina	6,5	0,35	Salt lake	PRJNA1023877	SRR26473344		Illumina		-	-	16
Xamxidin2025	W_1	8,18	15,4	Salt lake	PRJNA1200918 	SRR31818012				-	-	29,9
Xamxidin2025	W_4	8,02	20,2	Salt lake	PRJNA1200918 	SRR31818011				-	-	21,6
Xamxidin2025	W_8	8,11	15,9	Salt lake	PRJNA1200918 	SRR31818010				-	-	19,7
Ramos-Barbero2021	HP	6,68	23	Saltern	https://de.cyverse.org/dl/d/25B33A44-98A0-4ABA-B706-B71C1FFEBEDB/Ramos-Barbero.zip	-						-
Ramos-Barbero2021	SE	6,68	23,8	Saltern	https://de.cyverse.org/dl/d/25B33A44-98A0-4ABA-B706-B71C1FFEBEDB/Ramos-Barbero.zip	-						-
Ramos-Barbero2021	HU	7,34	24	Saltern	https://de.cyverse.org/dl/d/25B33A44-98A0-4ABA-B706-B71C1FFEBEDB/Ramos-Barbero.zip	-						-
Garcia_roldan2023	Isla_cristina	6,7	42	Saltern	PRJNA890281	SRR21894959			-	-	-	31,1
Ghai2011	SS19	8	19	Saltern	-	SRR328982	SE	Manual download		-	-	31,5
Ghai2011	SS37	7,1	37	Saltern	-	SRR328983		Manual download		-	-	31,4
Fernandez2014	SS13	8	13	Saltern	PRJNA196398	SRR944625	SE	Manual download		-	-	31
Soufi2024	LSL12	9,15	8,5	Soda_lake	PRJNA993288	SRR25242035				-	-	7
Soufi2024	LSL10	9,15	8,6	Soda_lake	PRJNA993288	SRR25242036				-	-	7
Soufi2024	BSL60	9,77	5,1	Soda_lake	PRJNA993288	SRR25242037				-	-	10
Soufi2024	BSL40	9,87	1,4	Soda_lake	PRJNA993288	SRR25242038				-	-	9
Soufi2024	BSL30	9,85	1,4	Soda_lake	PRJNA993288	SRR25242039				-	-	7,5
Soufi2024	BSL10	9,77	1,4	Soda_lake	PRJNA993288	SRR25242040				-	-	20
Vavourakis2016	Lake_B1	10,2	40	Soda_lake	SRP012436	SRR490125/SRR490126				-	-	-
Vavourakis2016	Lake_T5	9,9	17	Soda_lake	SRP012436	SRR490135				-	-	-
Vavourakis2016	Tc	9,9	30	Soda_lake	SRP012436	SRR490136/SRR490137				-	-	-
Vavourakis2016	PL	9,5	25	Soda_lake	SRP012436	SRR490146				-	-	-
Reysenbach2020	J2-1040-10-CH1-1-240	2,21	3,08	Undersea_vent	PRJNA546572	SRR10810382						-
Reysenbach2020	J2-1040-8-CH1-1-233	2,08	3,116	Undersea_vent	PRJNA546572	SRR10810390						200
Anantharaman2016	MA1	2,5	3,98	Undersea_vent	PRJNA234377	SRR1217452		Plume 25m 		-	-	-
Anantharaman2016	KM1	3,6	3,7	Undersea_vent	PRJNA234377	SRR1217564		Plume 1m from vent				333
Anantharaman2016	AbeA1	4,3	3,4	Undersea_vent	PRJNA234377	SRR1217565		Plume 1m from vent				309
Reysenbach2020	J2-1038-13-R7-1-74	2,82	3,58	Undersea_vent	PRJNA546572	SRR10312490						-
Reysenbach2020	J2-1039-15-CH1-1-157	6,55	3,16	Undersea_vent	PRJNA546572	SRR10312502						-
Reysenbach2020	J2-1039-14-CH2-1-172	3,61	3,38	Undersea_vent	PRJNA546572	SRR10312498						87
Reysenbach2020	J2-1040-10-CH2-1-217	2,21	3,08	Undersea_vent	PRJNA546572	SRR10312504						-
Reysenbach2020	J2-1038-5-R3-1-67	2,97	4,06	Undersea_vent	PRJNA546572	SRR10312503						276,5
Reysenbach2020	J2-1041-4-R1-1-297	5,66	3,127	Undersea_vent	PRJNA546572	SRR10312495						60
Reysenbach2020	J2-1038-14-MAJ-Green	7,62	3,13	Undersea_vent	PRJNA546572	SRR10312494						-
Reysenbach2020	J2-1041-6-R2-1-324	5,14	3,089	Undersea_vent	PRJNA546572	SRR10312493						45
Reysenbach2020	J2-1038-6-R4-1-31	2,97	4,06	Undersea_vent	PRJNA546572	SRR10312491						276,5
Parwin	DS	7,23	0,0113	Wastewater	PRJNA1008397	SRR25894123				-	-	-
Parwin	MC	7,7	0,0202	Wastewater	PRJNA1008397	SRR25894124				-	-	-
Fang2024	X0.1	6,89	0,0996	Wastewater	PRJNA1092822	SRR28562169/SRR28562168/SRR28562162		Triplicates		-	-	-
Fang2024	X4.1	7,069	1,448	Wastewater	PRJNA1092822	SRR28562165/SRR28562164/SRR28562163		Triplicates		-	-	-
Fang2024	X1.1	6,86	1,001	Wastewater	PRJNA1092822	SRR28562161/SRR28562160/SRR28562159		Triplicates		-	-	-
Fang2024	X2.1	7,048	0,129	Wastewater	PRJNA1092822	SRR28562156/SRR28562157/SRR28562158		Triplicates		-	-	-
Fang2024	X3.1	7,087	1,394	Wastewater	PRJNA1092822	SRR28562155/SRR28562167/SRR28562166		Triplicates		-	-	-
